,LastTradingPrice,ClosingPrice,LastUpdate,Day'sRange,Change*,Day'sValue(mn),OpeningPrice,Day'sVolume(Nos,AdjustedOpeningPrice,Day'sTrade(Nos,Yesterday'sClosingPrice,MarketCapitalization(mn),Paid-upCapital(mn),TypeofInstrument,Face/parValue,MarketLot,TotalNo,Sector,Reserve&SurpluswithoutOCI(mn),OtherComprehensiveIncome(OCI)(mn),MarketCategory,ElectronicShare
0,6.8,6.8,3:45PM,0.20000000000000018,0.2,16.91,6.7,2506020.0,6.6,456.0,6.6,1913.494,2899.23,MutualFund,10.0,1.0,289923349.0,MutualFunds,401.9,7.8,A,Y
1,23.3,23.3,3:45PM,1.5999999999999979,-0.7,36.16,24.1,1543242.0,24.0,843.0,24.0,480.0,200.0,MutualFund,10.0,1.0,20000000.0,MutualFunds,32.4,14.8,A,Y
2,0,47.8,3:45PM,0,0,0,0,0,47.8,0,47.8,2687.492,562.24,Equity,10.0,1.0,56223682.0,ITSector,916.5,62.2,A,Y
3,0,30.8,3:45PM,0,0,0,0,0,30.8,0,30.8,1790.646,581.38,Equity,10.0,1.0,58137864.0,ITSector,281.0,37.0,A,Y
4,6.1,6.1,3:45PM,0.20000000000000018,0.1,8.28,6.0,1357434.0,6.0,141.0,6.0,1434.542,2390.9,MutualFund,10.0,1.0,239090396.0,MutualFunds,260.8,6.2,A,Y
5,16.0,16.0,3:45PM,0.5999999999999996,0.0,199.55,16.3,12303504.0,16.0,3151.0,16.0,13373.419,8358.39,Equity,10.0,1.0,835838671.0,Bank,17330.8,9.9,B,Y
6,30.9,29.5,3:45PM,4.199999999999999,-0.9,22.95,32.9,782271.0,31.8,493.0,31.8,3206.5,1008.33,Equity,10.0,1.0,100833333.0,Textile,2417.9,42.0,A,Y
7,299.0,297.4,3:45PM,15.100000000000023,-36.8,133.62,298.0,449000.0,292.0,2369.0,335.8,21192.423,631.1,Equity,10.0,1.0,63110252.0,Pharmaceuticals&Chemicals,6865.2,300.6,A,Y
8,151.1,150.6,3:45PM,7.400000000000006,-11.6,4.24,157.4,27892.0,155.0,188.0,162.7,7321.5,450.0,Equity,10.0,1.0,45000000.0,Pharmaceuticals&Chemicals,1952.0,170.9,A,Y
9,88.3,88.5,3:45PM,2.4000000000000057,-4.2,27.69,89.8,311615.0,92.5,552.0,92.5,19573.157,2116.02,Equity,10.0,1.0,211601700.0,Pharmaceuticals&Chemicals,11810.7,107.7,A,Y
10,22.0,22.0,3:45PM,1.3999999999999986,-1.0,41.5,23.1,1864937.0,23.0,852.0,23.0,5518.541,2399.37,Equity,10.0,1.0,239936580.0,Pharmaceuticals&Chemicals,1960.3,16.5,B,Y
11,62.5,62.5,3:45PM,2.0,-0.5,45.66,64.0,714921.0,63.0,266.0,63.0,4073.055,646.52,Equity,10.0,1.0,64651666.0,ITSector,573.7,74.1,A,Y
12,25.6,25.6,3:45PM,1.6999999999999993,-1.1,42.31,26.3,1646549.0,26.7,977.0,26.7,2437.886,913.07,Equity,10.0,1.0,91306600.0,Pharmaceuticals&Chemicals,207.5,26.9,A,Y
13,30.5,30.5,3:45PM,1.9999999999999964,-1.5,30.01,32.0,968135.0,32.0,642.0,32.0,3686.918,1152.16,Equity,10.0,1.0,115216200.0,Pharmaceuticals&Chemicals,904.4,18.5,A,Y
14,27.6,27.6,3:45PM,1.5,-1.2,2.23,28.7,79569.0,28.8,189.0,28.8,2757.094,957.32,Equity,10.0,1.0,95732422.0,Engineering,2879.5,36.8,A,Y
15,0,21.1,3:45PM,0,0,0,0,0,21.1,0,21.1,1530.936,725.56,Equity,10.0,1.0,72556194.0,ITSector,61.1,25.5,B,Y
16,52.8,52.8,3:45PM,1.3999999999999986,-0.7,7.6,52.3,145037.0,53.5,305.0,53.5,1698.995,317.57,Equity,10.0,1.0,31756920.0,Insurance,532.6,36.1,A,Y
17,8.9,8.9,3:45PM,0.1999999999999993,0.2,0.64,8.9,71724.0,8.7,44.0,8.7,870.0,1000.0,MutualFund,10.0,1.0,100000000.0,MutualFunds,157.0,9.1,A,Y
18,44.6,44.6,3:45PM,3.3999999999999986,-2.1,7.17,47.0,156372.0,46.7,287.0,46.7,2066.553,442.52,Equity,10.0,1.0,44251669.0,Textile,419.0,31.0,A,Y
19,0,69.6,3:45PM,0,0,0,0,0,69.6,0,69.6,1551.979,222.99,Equity,10.0,1.0,22298549.0,Textile,-34.1,70.8,B,Y
20,28.0,28.0,3:45PM,1.6999999999999993,0.6,33.2,27.5,1170601.0,27.4,501.0,27.4,29178.32,10649.0,Equity,10.0,1.0,1064902185.0,Bank,14806.8,21.9,A,Y
21,14.9,14.9,3:45PM,1.5,-1.3,220.24,16.1,14472037.0,16.2,4981.0,16.2,4210.818,2599.27,Equity,10.0,1.0,259927023.0,Textile,890.6,7.5,A,Y
22,16.9,16.9,3:45PM,1.3000000000000007,0.2,4.26,16.5,250910.0,16.7,151.0,16.7,934.666,559.68,Equity,10.0,1.0,55968000.0,Textile,323.4,18.9,Z,Y
23,0,51.8,3:45PM,0,0,0,0,0,51.8,0,51.8,6784.267,1309.7,Equity,10.0,1.0,130970400.0,Miscellaneous,2616.3,66.0,A,Y
24,390.1,390.1,3:45PM,20.0,-10.8,0.67,382.0,1716.0,400.9,86.0,400.9,962.16,24.0,Equity,10.0,1.0,2400000.0,Pharmaceuticals&Chemicals,33.9,488.2,A,Y
25,0,212.3,3:45PM,0,0,0,0,0,212.3,0,212.3,1698.4,80.0,Equity,10.0,1.0,8000000.0,Food&Allied,536.0,277.9,A,Y
26,36.9,36.9,3:45PM,2.6999999999999957,-1.8,3.05,37.9,82420.0,38.7,147.0,38.7,691.484,178.68,Equity,10.0,1.0,17867800.0,Textile,12.3,43.4,B,Y
27,352.1,352.1,3:45PM,20.0,-21.1,42.47,361.0,123443.0,339.3,336.0,373.2,5689.807,152.46,Equity,10.0,1.0,15246000.0,Engineering,5.4,438.1,A,Y
28,44.9,44.7,3:45PM,3.1999999999999957,-1.0,3.4,46.9,74330.0,45.9,165.0,45.9,4709.34,1026.0,Equity,10.0,1.0,102600000.0,Fuel&Power,513.7,58.2,A,Y
29,0,136.2,3:45PM,0,0,0,0,0,136.2,0,136.2,776.667,57.02,Equity,10.0,1.0,5702400.0,Food&Allied,442.4,164.7,A,Y
30,239.0,239.8,3:45PM,10.700000000000017,0.0,0.81,238.1,3384.0,239.0,44.0,239.0,2688.75,113.0,Equity,10.0,1.0,11250000.0,TanneryIndustries,2630.6,304.2,A,Y
31,0,116.8,3:45PM,0,0,0,0,0,116.8,0,116.8,981.12,84.0,Equity,10.0,1.0,8400000.0,Textile,364.5,141.5,A,Y
32,119.2,119.2,3:45PM,2.9000000000000057,-0.5,0.46,117.1,3844.0,119.7,37.0,119.7,1824.228,152.4,Equity,10.0,1.0,15240000.0,TanneryIndustries,405.5,133.8,A,Y
33,8.7,8.7,3:45PM,0.5999999999999996,-0.3,13.17,9.0,1502464.0,9.0,736.0,9.0,3611.777,4013.09,Equity,10.0,1.0,401308600.0,Engineering,2654.2,9.6,B,Y
34,290.3,290.3,3:45PM,12.600000000000023,-10.3,6.9,300.6,23491.0,300.6,255.0,300.6,1803.6,60.0,Equity,10.0,1.0,6000000.0,Miscellaneous,804.9,248.7,A,Y
35,38.0,38.0,3:45PM,4.299999999999997,-4.2,6.59,42.3,168609.0,42.2,390.0,42.2,1429.736,338.8,Equity,10.0,1.0,33880000.0,Cement,-625.5,18.5,Z,Y
36,18.6,18.6,3:45PM,0.6000000000000014,-1.9,12.91,19.0,690269.0,19.5,470.0,20.5,2711.635,1322.75,Equity,10.0,1.0,132274863.0,Textile,1374.7,25.3,A,Y
37,87.7,87.7,3:45PM,3.5,-3.2,25.14,90.3,284921.0,90.9,693.0,90.9,4278.65,470.69,Equity,10.0,1.0,47069858.0,Insurance,271.9,94.5,A,Y
38,64.5,64.5,3:45PM,2.0999999999999943,-0.6,3.25,66.1,50256.0,65.1,121.0,65.1,2756.985,423.5,Equity,10.0,1.0,42350000.0,Insurance,347.6,62.8,A,Y
39,10.6,10.6,3:45PM,0.29999999999999893,0.4,10.37,10.4,984715.0,10.2,320.0,10.2,630.218,617.86,MutualFund,10.0,1.0,61786050.0,MutualFunds,119.8,11.2,A,Y
40,103.5,103.3,3:45PM,2.4000000000000057,-0.9,0.59,104.4,5747.0,104.4,52.0,104.4,3458.47,331.27,Equity,10.0,1.0,33127108.0,Engineering,3860.3,120.3,B,Y
41,84.6,84.6,3:45PM,2.5,0.9,2.66,84.2,31491.0,83.7,214.0,83.7,447.554,53.47,Equity,10.0,1.0,5347125.0,Engineering,-236.2,149.1,B,Y
42,113.6,113.3,3:45PM,5.5,-2.5,2.47,118.5,21671.0,116.1,211.0,116.1,885.221,76.25,Equity,10.0,1.0,7624644.0,Food&Allied,86.1,136.8,A,Y
43,21.8,21.8,3:45PM,0.8999999999999986,0.8,19.06,21.3,872777.0,21.0,289.0,21.0,24484.044,11659.1,Equity,10.0,1.0,1165906860.0,Bank,15549.3,17.2,A,Y
44,25.5,25.5,3:45PM,0.5,-0.3,14.66,25.8,575718.0,25.8,504.0,25.8,6075.014,2354.66,Equity,10.0,1.0,235465662.0,Fuel&Power,1076.5,30.5,A,Y
45,870.3,871.2,3:45PM,7.0,1.4,0.73,868.9,840.0,868.9,34.0,868.9,11886.552,136.8,Equity,10.0,1.0,13680000.0,TanneryIndustries,3525.4,693.2,A,Y
46,647.6,647.6,3:45PM,16.799999999999955,12.3,212.65,639.9,328373.0,635.3,4295.0,635.3,343062.0,5400.0,Equity,10.0,1.0,540000000.0,Food&Allied,28680.3,529.0,A,Y
47,35.2,35.2,3:45PM,2.200000000000003,1.1,179.33,34.6,5082323.0,34.1,2013.0,34.1,4804.296,1408.88,Equity,10.0,1.0,140888443.0,FinancialInstitutions,1260.3,21.2,A,Y
48,16.6,16.6,3:45PM,0.6999999999999993,-0.2,1.73,17.2,103722.0,16.8,100.0,16.8,2737.22,1629.3,Equity,10.0,1.0,162929733.0,Engineering,807.1,21.9,A,Y
49,57.0,57.0,3:45PM,0.8999999999999986,0.0,34.76,57.5,610151.0,57.0,676.0,57.0,10945.539,1920.27,Equity,10.0,1.0,192027000.0,Engineering,3756.8,80.8,A,Y
